تاریخ (شمسی),Gregorian Date (YYYY-MM-DD),Weekday (English)
1404/04/21,2025-07-12,Saturday
1404/04/22,2025-07-13,Sunday
1404/04/23,2025-07-14,Monday
1404/04/24,2025-07-15,Tuesday
1404/04/25,2025-07-16,Wednesday
1404/04/28,2025-07-19,Saturday
1404/04/29,2025-07-20,Sunday
1404/04/30,2025-07-21,Monday
1404/04/31,2025-07-22,Tuesday
1404/05/01,2025-07-23,Wednesday
1404/05/04,2025-07-26,Saturday
1404/05/05,2025-07-27,Sunday
1404/05/06,2025-07-28,Monday
1404/05/07,2025-07-29,Tuesday
1404/05/08,2025-07-30,Wednesday
1404/05/09,2025-07-31,Thursday
1404/05/10,2025-08-01,Friday
1404/05/11,2025-08-02,Saturday
1404/05/12,2025-08-03,Sunday
1404/05/13,2025-08-04,Monday
1404/05/14,2025-08-05,Tuesday
1404/05/15,2025-08-06,Wednesday
1404/05/16,2025-08-07,Thursday
1404/05/18,2025-08-09,Saturday
1404/05/19,2025-08-10,Sunday
1404/05/20,2025-08-11,Monday
